c_id|c_d_id|c_w_id|c_first|c_middle|c_last|c_street_1|c_street_2|c_city|c_state|c_zip|c_phone|c_since|c_credit|c_credit_lim|c_discount|c_balance|c_ytd_paymenr|c_payment_cnt|c_delivery_cnt|c_data
1|1|4|XvTC9cQ1BnpH3ue|OE|BARBARBAR|ik1yiPkonwJ|pAxmX3VomS5QzAP1K|SPtt5EcqNaafy|hD|525811111|9613662508411977|39|GC|50000.00|.4211|-10.00|1.00|0|0|OsfGdm8UJFMPvwSA3lASWL8Aq941eu2K9bB406Rzp3Z2L3W29631NhfBugH98eeF5JxGNJimKMtwhM0o2F8lKgEw3dPTOSj1cN1w6gTUUk585rG2QIEo0PGO5QZifJWePMXK7GvXrnFrrjeNgbO89eaQiYI2Z7HiSa7RI6bEOGpBxmZ2OHfPsZrzk023YIYksYQfkwAcWOS2vneHL3aoCRliI0HD7gVSt5QnMKOfKSW3GZdUFnK4IU4YFOsAz9G3GuzFWJlshTTGtHXcm8AfrDJKoHtU6jaj5tX8bcUob2O15SX1ayRbVMpp0GwZSZ48KvbAwL37xt9CLZL4mWNc0vMSg3WI9xpG7PVQ3XOb3nTyV7tZ
2|1|4|tZhugfr7h|OE|BARBAROUGHT|TnMb0jwcz8rD|4zIePdXwuBxB2MTz1J|PBG2lSGTSRjeESt|YW|853311111|1380558293894392|39|GC|50000.00|.4309|-10.00|1.00|0|0|OUDz2Oks7MOcq8AbjImJHodwu6ySQhlqrkOCOwc5SrEkKlbrKpsVWYTMJEgrf61CCz6pdmJWsiE2Tjwj1fBlRJue1nr4yyBadR6ZRE16nqlybhlmwDxlKhoN6aC7yFw3YocMHYF9bOZtK6Euqq6ufXw03VfrsIKe2SXis2IArgMxUxIFQoT2qRixo42SxsKFZWBrQywqVpyfrjSGfIEP4fhgYX4ustGMr1pYjeK9yllsdBSV3vLiXAQr466d4DSucKSKtvh1VGzx6B1XRIb0dvBrtw8vqETb357yQIGSDNtlmos12wmtGzKyiQ4c2Ry8K1NsRCs8dcfpR6rderItsXbpTHFCZdPc9nV0ndVnY3Rq8W9DLFiFZmSHXS9iCRuotBlivGb9
3|1|4|5Y3pDQPluD|OE|BARBARABLE|pGUAhwUSkZjlQDhft|Z6lb9NHPlwQB40fL|Ah8Mt701qXDjg1M|nR|011811111|5460462831141653|39|GC|50000.00|.0568|-10.00|1.00|0|0|ds88L42UfgQ2AMVsyWwKmpvwiYGH5YFu5CCiT3tQwCJTZc4fEJu95gipRQ41BMe59cN7a4q0h9qrjyU5gS4CO54LAr1SHMhkGNqGi0MYJudMGkgvpyoX7tw0hF0dR49F98HMMUkoOzjnUaUFS3CB668kqmTVMtNiceX1CUz4hgfjKaSdfOOk0bkcbBEW2d2MuPP0Me9P7cX3SvarZUCIXYYWqWmhpz0XIj5iGMGp5QtanIUERpCwGk5DkVCPtUhBSSXeFYhM8MAvX5sgNDUADRA3zpLu8dCEnDgM4e5mhYNiJm2CB3jMA3eRglAhhUbPMAQoFVQl7xgG3
4|1|4|m5RtgNHgFVLm5s|OE|BARBARPRI|2otIyzgS9Ujacme7c|eZVAgJQQO9EPFoLZO7l5|5ZjwXCddMKT|LP|185911111|8995658202909469|39|BC|50000.00|.0627|-10.00|1.00|0|0|xB9MU4SYMZ4o3GdJPmGueTLHfOs6PWvTTy22Ut3RvMhCHHzk9F7eFZx8ZXm40LVCq1aJgCmx0UyVU9acsfA9uUIZ4zDMCIkwem8WFP3eEztzT4bs8C4fDMvv4qIIcbGzkeRtg7lLabSOLc9fwQ7rUShIFrkmeaxjOzo9AXZYlh44oYO5SWZDbMyfSn3zlDu81FTObT9ZqjA7QblLygSvbFHNOqY6dsutozknwDg1ovyzdHqqTdINg4eiKsKzm5p9sh4VhJT6BsPLCRLnl02r2enqm6RWLLba8uT4rkIXoGKs5JxL38Ce9hft8oh8eEmGMnudEVF65kGTxbiDRyg8ZY5BIF9YKRJWQl9REmfTRrhIDXGu7PRoi5ViDCuNfgHBYGXylMEUnYA0hbA3wVSHQqJXyWIt4SlsZQmfpuNPoRZLMp5lH4BJAerQJ13uJwMFVPXDeXbk27I2pxHNzEkxwPeiZwUxfThzw
5|1|4|hLZIr005mWLKQ|OE|BARBARPRES|KDA2fS8ZglqXqzvZ|DJZzfm2B49K|i6XGnPhlVnx7dD|a4|067511111|1730971003131127|39|GC|50000.00|.3095|-10.00|1.00|0|0|7wX0mtI3BdkLxLzk2ehlVtBjGwQXMdfLfw2QjUMG3e5ykilKYIU0yYLklpMvQXfBquChWErPCh1cpEhcdTJgpZC7DUTcOHsMQG6w72zWZ7FFt484UikQR0jFTKDr0cbwPJrN6m1uAh78D77i1T8lW3JWc1xbW1CyQ3rYx6mRsBeOXSpFcizU9N9gWlTWyrIhyt46oEIGPLHf2CpvODQPAbp5aU78bnVWO8rQNRJkvwRqmcN8SgE7ivzJMaZFVOuvDnh6Unqg55lQtKSvtnnhpIHMtubn6LHpgIzoeLBShVtMDsxo33jlzuASHJ6oR51Qgqm5gLuPJ6kTYcoR33JRiy51skE
6|1|4|84JtR5jEDbAEvlU1|OE|BARBARESE|8VlpMVnnhEwrSHVc|w2RMeOWmlO3z7xlhvWW|4ClXOtkvNCkErxzpQ|2d|864911111|9819467049832504|39|GC|50000.00|.3567|-10.00|1.00|0|0|X2waxtoqSDDjBQA0UnJoOnYlWxdoRQ0jgI7A1uiQzSyAHIBuH5GWWh0q39bHaR7OwoCWKCVJe1Oj0a0Kw2pOiwQ7AlL8neWTKP30bq3aJDUwj4hGdE5qnzEWLNNs84QimjruAWWUulzAXGxggwjiXkl6Z4BH7AFaZr3s3j5OU5MA8i8OJ5g4hIBRPZ9Z6nS4gQObDDIpLLq8RMxl9DNdKmLEEKaQe1HD6CpAWnHSNtA8uNLTCyp27IFzSHoj5GveZVeFfN6AkAtjrWHsamZB0i6boQmUYbcUDbzfB8x1LPRqhgZRlmY54lQ5GOfhOz2akIArqKrscd4jLo64tomuXjZIwYALZNJivP3E7OiJbxRCLzqUgwPhV8jV5kBzWtFParQ7wlxGYHAAsL
7|1|4|qkAkxwLLLSs9hUI|OE|BARBARANTI|DGHZXpdD8kZoFZ|DC9I3TUvNiMhjk0O2Y9M|SdyMbY1O8oU|nO|013011111|8814801114726220|39|GC|50000.00|.3497|-10.00|1.00|0|0|81GmY5C4minZ23SojAv3HNimI8ccxZbmtJv2L9ljry4aEuNbvjRpsVTPN4lJ2Iv88e9MXzSaKq8ZTg4xMcQIHCtoKrFQVbF9lTFeiJpO1McTiRfxsL5QLBfdipOpgF0INjT2js3FBBCSXpSDL4kiLAMe4oRQEZj2d62yhARGmfLGs45HwymsfRzZZUKC3E6MgIRV5g6HuXKH22XU9W7ujblMVp44F3DhVBgFrXI2MA2XZA9poZHcvLOR3MYUjODkWwE6hfc0aBDJxJhnAY14i2tB2MF51iK7svdNFtzz56J3TjyixlXk1Fv3S8EF3ZiI5yRgIXVt3HPmhSsl3WbHbcNkvYHwaozSPq5XZ
8|1|4|xihbf148TNSzaOIg|OE|BARBARCALLY|Dbs0EkqdGLEo6xSqR|Mods2Kib7bBRct2w|9kALu4CF6dGNu|Tt|304811111|2681101031640566|39|BC|50000.00|.3138|-10.00|1.00|0|0|y7C3tuH4lF1hvV4IyPOym0qLAOZnyt5ab7pQJaN0yu3cjApiuKtcFnncWuWtxQonSsSLk2Jtt7ERxjzqqb0VOQe7MivoBBzIMhRlOkOzLf0Uytqne0kFJzUZAiTmpjFeWFJYqlZ2HoifLGf5K8RXolF1GfVVsFl1O42Ge3z32AEgfQwJVtkTVL3aK63iZoWpwYYwosP81SJYOzuojMmjHM6WJkZJgJLoEyOStVFH0ErtNW3D1QLKgEGrQQpLf4hHcHiW1fMZxtjIWs8kBSKGNFDt1MOe1iPdREGy7flx8USPHsSsQGKqK2iIdcxBE1Z87imb0Whz2iVf0ewhgRDoAb1aqUfMuz9TXcugqyKSByf9ZNwRoQ9vKXroVaWWTJjfCfHp4nU20nx1d
9|1|4|yqp9c7IrVxVex|OE|BARBARATION|FdPE6HnvVTm|ibgTs56oHeFGHJMg06RK|jW1Mm0N5ORHMxUIbTLvt|R3|959711111|5509290260145219|39|GC|50000.00|.0860|-10.00|1.00|0|0|TtIb7BpqQ7SnqZLfBk9IVxyZZWQc0GX14LQ4F9dM1oojXU1VhpmFLOBTRBt59SYSMScaht28px9HpSp2XvNigbkIw6CXttrEVIH7vaY35fyYpINL0MLgQ4N9rCRq0cBf9rhH9mojICRP8iVI42n0DFWDq7SrtrMJjIqOZurwvB7iHgpSzdxeSREsTPTwbZ6v7TWgUk0WS0xR2gZyWjXyS9i5h8ujynxU7Q52MbOMtULvZhdUiSLc3ZC9jKnriVGfRIRTYTszsZB979JQC7tI7NE0t7PfuKnFlCAtxWNmk0TLPIjo9cn6MbYvLnL
10|1|4|0XpjkfUPVD|OE|BARBAREING|V5wmlMCJEEynvW|ZU9C2xjnsMpb|ovQfFRBf4bl0C|o7|787811111|5113630932846762|39|GC|50000.00|.1992|-10.00|1.00|0|0|5OEXvsLQutPVGiHMrDnXnHmDIm1ClQANrEe1Rpf7fnR7Ied32Gz9AAM8UL4g5ePTmv70T5BRiEDXsOMdGFKwbV7tfgOp5ecQfONUZJ5Ck6UQM9IJyTRlzdNAzbH46qhJrU45DzgoTMHd60KqapVhRzm7dMHgt0D3VjqTwP3JgOYHXwuAsRcuDhG52wsKpKdKpf56PybNJ6qaaGbX8ZwmERu9LXARHVPhal3vJdIpblp0EDhyhxOJCaSSzGgHAMQyrIQvvINkhVTwNESRHDaEk9WWTG9RouLOlReMUoXgScEYhMAnoD68hQeuGromjIxl49isW0gIxQwEr8SDzcXbkdY7lODCyCpnEnrjvgorDp4
